Company Name,NSE,NSE CODE
Vardhman Textiles Ltd.,VTL.NS,VTL
Bank Of Maharashtra,MAHABANK.NS,MAHABANK
UTI Asset Management Company Ltd.,UTIAMC.NS,UTIAMC
Alok Industries Ltd.,ALOKINDS.NS,ALOKINDS
Computer Age Management Services Ltd.,CAMS.NS,CAMS
JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM.NS,JBCHEPHARM
Finolex Industries Ltd.,FINPIPE.NS,FINPIPE
IIFL Wealth Management Ltd.,IIFLWAM.NS,IIFLWAM
Firstsource Solutions Ltd.,FSL.NS,FSL
Metro Brands Ltd.,METROBRAND.NS,METROBRAND
BASF India Ltd.,BASF.NS,BASF
Suven Pharmaceuticals Ltd.,SUVENPHAR.NS,SUVENPHAR
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG.NS,CHOLAHLDNG
Castrol India Ltd.,CASTROLIND.NS,CASTROLIND
Narayana Hrudayalaya Ltd.,NH.NS,NH
Hindustan Copper Ltd.,HINDCOPPER.NS,HINDCOPPER
KEC International Ltd.,KEC.NS,KEC
Medplus Health Services Ltd.,MEDPLUS.NS,MEDPLUS
Quess Corp Ltd.,QUESS.NS,QUESS
Shriram City Union Finance Ltd.,SHRIRAMCIT.NS,SHRIRAMCIT
CESC Ltd.,CESC.NS,CESC
Fine Organic Industries Ltd.,FINEORG.NS,FINEORG
SJVN Ltd.,SJVN.NS,SJVN
Sterlite Technologies Ltd.,STLTECH.NS,STLTECH
ITI Ltd.,ITI.NS,ITI
Birla Corporation Ltd.,BIRLACORPN.NS,BIRLACORPN
Redington (India) Ltd.,REDINGTON.NS,REDINGTON
Brigade Enterprises Ltd.,BRIGADE.NS,BRIGADE
Asahi India Glass Ltd.,ASAHIINDIA.NS,ASAHIINDIA
Amber Enterprises India Ltd.,AMBER.NS,AMBER
Zensar Technologies Ltd.,ZENSARTECH.NS,ZENSARTECH
Lux Industries Ltd.,LUXIND.NS,LUXIND
HFCL Ltd.,HFCL.NS,HFCL
Laxmi Organic Industries Ltd.,LXCHEM.NS,LXCHEM
Cyient Ltd.,CYIENT.NS,CYIENT
Galaxy Surfactants Ltd.,GALAXYSURF.NS,GALAXYSURF
Krishna Institute of Medical Sciences Ltd,KIMS.NS,KIMS
Route Mobile Ltd.,ROUTE.NS,ROUTE
Hitachi Energy India Ltd.,POWERINDIA.NS,POWERINDIA
Amara Raja Batteries Ltd.,AMARAJABAT.NS,AMARAJABAT
Balaji Amines Ltd.,BALAMINES.NS,BALAMINES
KEI Industries Ltd.,KEI.NS,KEI
IIFL Finance Ltd.,IIFL.NS,IIFL
Indiabulls Housing Finance Ltd.,IBULHSGFIN.NS,IBULHSGFIN
Saregama India Ltd.,SAREGAMA.NS,SAREGAMA
Century Textiles & Industries Ltd.,CENTURYTEX.NS,CENTURYTEX
Godrej Agrovet Ltd.,GODREJAGRO.NS,GODREJAGRO
City Union Bank Ltd.,CUB.NS,CUB
Eris Lifesciences Ltd.,ERIS.NS,ERIS
Jindal Stainless Ltd.,JSL.NS,JSL
Blue Star Ltd.,BLUESTARCO.NS,BLUESTARCO
Latent View Analytics Ltd.,LATENTVIEW.NS,LATENTVIEW
V-Guard Industries Ltd.,VGUARD.NS,VGUARD
Angel One Ltd.,ANGELONE.NS,ANGELONE
Network 18 Media & Investments Ltd.,NETWORK18.NS,NETWORK18
CreditAccess Grameen Ltd.,CREDITACC.NS,CREDITACC
Indigo Paints Ltd.,INDIGOPNTS.NS,INDIGOPNTS
Vaibhav Global Ltd.,VAIBHAVGBL.NS,VAIBHAVGBL
Intellect Design Arena Ltd.,INTELLECT.NS,INTELLECT
Allcargo Logistics Ltd.,ALLCARGO.NS,ALLCARGO
Lakshmi Machine Works Ltd.,LAXMIMACH.NS,LAXMIMACH
Dhani Services Ltd.,DHANI.NS,DHANI
Jubilant Pharmova Ltd.,JUBLPHARMA.NS,JUBLPHARMA
Akzo Nobel India Ltd.,AKZOINDIA.NS,AKZOINDIA
Anupam Rasayan India Ltd.,ANURAS.NS,ANURAS
